order_id,customer_id,order_date,order_status,payment_status,payment_method,currency,subtotal,discount_amount,tax_amount,shipping_amount,total_amount,shipping_country,shipping_city,shipping_postcode,device_type,traffic_source
19,8464,11-07-2025 21:59,Cancelled,Paid,Wallet,USD,1460.95,73.05,175.31,47.32,1610.53,Canada,Caitlinborough,55972,Desktop,Email
20,8384,27-03-2026 12:55,Cancelled,Pending,Card,USD,834.5,0,100.14,17.03,951.67,Tokelau,New Richard,37998,Tablet,Referral
21,8165,03-03-2026 13:20,Returned,Refunded,Wallet,USD,1109.56,0,133.15,33.96,1276.67,Turkmenistan,Millerberg,25611,Desktop,Organic
22,4538,15-11-2025 04:38,Completed,Failed,BankTransfer,USD,1410.47,0,169.26,42.44,1622.17,Bolivia,Lake Robertmouth,45404,Mobile,Organic
23,2597,08-11-2024 11:52,Cancelled,Failed,Wallet,USD,83.93,4.2,10.07,37.86,127.66,Bahamas,Paigeville,31582,Mobile,Direct
24,5403,13-11-2024 12:32,Pending,Paid,Wallet,USD,811.36,40.57,97.36,40.81,908.96,Seychelles,Reyesville,78861,Desktop,Paid
25,7408,01-10-2025 15:01,Pending,Pending,BankTransfer,USD,923.79,138.57,110.85,1.27,897.34,Norway,Natalieton,39447,Tablet,Organic
26,3936,20-02-2025 18:00,Pending,Failed,Card,USD,821.2,0,98.54,21.33,941.07,Micronesia,Robertbury,57841,Tablet,Referral
27,9727,13-10-2025 12:45,Pending,Refunded,PayPal,USD,1102.07,55.1,132.25,47.9,1227.12,Maldives,Christopherburgh,18567,Tablet,Paid
28,7793,30-07-2025 12:21,Completed,Failed,BankTransfer,USD,1485.26,148.53,178.23,20.82,1535.78,Mauritius,Gonzalezbury,59199,Desktop,Email
29,7895,08-04-2025 11:14,Returned,Pending,BankTransfer,USD,911.24,136.69,109.35,44.46,928.36,Netherlands,New Angelaview,83914,Mobile,Direct
30,3830,03-03-2026 15:27,Returned,Pending,PayPal,USD,833.86,41.69,100.06,21.99,914.22,Portugal,Port David,51008,Tablet,Referral
31,615,03-06-2026 05:30,Completed,Pending,BankTransfer,USD,571.28,57.13,68.55,13.35,596.05,France,North Coreymouth,11220,Mobile,Referral
32,1020,23-09-2025 23:34,Cancelled,Failed,Card,USD,319.26,47.89,38.31,40.6,350.28,United Arab Emirates,Lake Victoria,54529,Mobile,Organic
33,56,15-04-2026 11:44,Cancelled,Pending,BankTransfer,USD,1925.44,288.82,231.05,36.04,1903.71,Lao People's Democratic Republic,Leslietown,7176,Desktop,Paid
34,8322,19-07-2024 05:52,Pending,Failed,Card,USD,1985.75,0,238.29,15.2,2239.24,Holy See (Vatican City State),Harrisberg,45223,Tablet,Paid
35,7161,24-07-2025 09:32,Pending,Failed,BankTransfer,USD,1225.78,0,147.09,25.63,1398.5,Yemen,South Stephanieview,61067,Desktop,Organic
36,8586,01-12-2025 20:20,Pending,Paid,Wallet,USD,832.28,0,99.87,30.74,962.89,Belgium,Lake Timothyport,36661,Tablet,Direct
37,3392,23-06-2026 06:11,Cancelled,Pending,BankTransfer,USD,1253.04,62.65,150.36,33.92,1374.67,Kenya,Bellside,8080,Desktop,Paid
38,7717,14-10-2025 02:13,Completed,Paid,Wallet,USD,1590.74,159.07,190.89,9.08,1631.64,Cook Islands,West Aimeeville,25649,Mobile,Referral
39,5972,27-03-2026 22:49,Pending,Pending,PayPal,USD,736.13,110.42,88.34,15.06,729.11,Wallis and Futuna,Schaeferview,48815,Tablet,Organic
40,177,19-01-2025 17:32,Completed,Failed,Wallet,USD,1374.12,206.12,164.89,33.48,1366.37,Bulgaria,New Christopher,50572,Desktop,Email
41,5154,01-05-2026 07:20,Pending,Paid,Card,USD,962.9,96.29,115.55,5.79,987.95,Finland,East Angelafort,54425,Tablet,Referral
42,6219,23-12-2025 02:27,Completed,Failed,PayPal,USD,1657.82,248.67,198.94,43.93,1652.02,Antarctica (the territory South of 60 deg S),Josehaven,20293,Desktop,Referral
43,6201,16-02-2025 22:50,Returned,Refunded,Wallet,USD,817.69,40.88,98.12,14.66,889.59,Sri Lanka,West Jacquelinechester,49548,Tablet,Direct
44,1498,06-01-2025 21:37,Pending,Refunded,BankTransfer,USD,1025.43,102.54,123.05,10.65,1056.59,Guatemala,Lisashire,20814,Mobile,Email
45,5931,07-07-2026 13:27,Cancelled,Failed,PayPal,USD,533.09,0,63.97,19.23,616.29,Vietnam,Chavezton,82091,Mobile,Organic
46,6107,20-06-2025 17:58,Returned,Refunded,Wallet,USD,396.77,19.84,47.61,40.64,465.18,Slovenia,New Michael,78242,Mobile,Organic
47,8958,01-08-2024 01:01,Returned,Paid,BankTransfer,USD,1411.37,0,169.36,25.69,1606.42,Saint Helena,Sheltonhaven,617,Desktop,Email
48,322,23-01-2025 01:15,Pending,Failed,BankTransfer,USD,394,19.7,47.28,46.88,468.46,Ukraine,Fowlerhaven,86518,Desktop,Paid
49,6396,08-01-2026 21:29,Completed,Pending,PayPal,USD,250.67,12.53,30.08,43.33,311.55,Bahrain,Carriehaven,78096,Tablet,Direct
50,3413,03-07-2025 17:52,Completed,Pending,Card,USD,1759.56,175.96,211.15,14.72,1809.47,Malawi,Marshallburgh,84607,Desktop,Email
51,5301,07-12-2025 23:44,Completed,Paid,Wallet,USD,667.41,100.11,80.09,30.33,677.72,Germany,Katrinaville,833,Desktop,Email
52,6572,30-03-2025 19:35,Cancelled,Paid,Wallet,USD,780.85,117.13,93.7,6.56,763.98,Guernsey,East Michaelfurt,96149,Tablet,Paid
53,6867,05-07-2025 17:17,Completed,Failed,Card,USD,703.43,35.17,84.41,22.1,774.77,Sao Tome and Principe,North Daisyberg,47551,Desktop,Email
54,1623,03-03-2026 07:26,Pending,Refunded,BankTransfer,USD,479.93,71.99,57.59,22.77,488.3,Syrian Arab Republic,Erinstad,8905,Tablet,Paid
55,2108,29-11-2024 16:23,Pending,Refunded,PayPal,USD,1441.83,72.09,173.02,13.57,1556.33,Rwanda,Jamestown,79869,Mobile,Organic
56,9656,06-07-2026 01:18,Pending,Paid,PayPal,USD,849.14,84.91,101.9,16.42,882.55,China,Lesliestad,74888,Desktop,Direct
57,5010,21-02-2025 19:50,Returned,Failed,PayPal,USD,675.62,0,81.07,46.13,802.82,Macao,Braunville,7815,Tablet,Direct
58,2266,20-10-2025 09:47,Returned,Paid,PayPal,USD,760.36,114.05,91.24,20.18,757.73,Zambia,New Jeremymouth,15093,Tablet,Referral
59,6339,08-06-2025 12:22,Pending,Paid,Wallet,USD,978.94,146.84,117.47,42.06,991.63,Cayman Islands,Port Chadborough,62640,Tablet,Referral
60,3801,16-05-2025 09:28,Returned,Paid,PayPal,USD,1134.04,0,136.08,49.35,1319.47,Hong Kong,South Brett,17758,Mobile,Direct
61,626,20-10-2025 08:44,Returned,Failed,BankTransfer,USD,1494.31,149.43,179.32,30.5,1554.7,Iceland,Scotttown,25832,Mobile,Email
62,3052,26-05-2026 01:52,Returned,Failed,BankTransfer,USD,921.5,138.22,110.58,6.89,900.75,Jersey,Tylerland,80538,Tablet,Paid
63,7872,07-04-2025 22:47,Returned,Failed,Wallet,USD,1125.83,0,135.1,3.05,1263.98,Saint Martin,Gregorystad,22523,Tablet,Paid
64,9005,21-11-2025 08:21,Completed,Pending,Card,USD,955.75,0,114.69,22.82,1093.26,British Indian Ocean Territory (Chagos Archipelago),Walkerstad,34084,Mobile,Referral
65,120,05-09-2025 22:32,Completed,Pending,BankTransfer,USD,486.08,24.3,58.33,49.08,569.19,Lithuania,Mariaberg,8774,Mobile,Direct
66,9804,16-05-2025 17:11,Completed,Failed,Wallet,USD,1222.53,0,146.7,33.8,1403.03,Angola,East Robert,95216,Mobile,Referral
67,7,10-10-2024 16:23,Completed,Pending,PayPal,USD,1782.39,267.36,213.89,17.91,1746.83,Sao Tome and Principe,Lake Nicholas,51409,Tablet,Paid
68,5281,28-05-2025 18:31,Pending,Failed,Wallet,USD,793.44,119.02,95.21,41.88,811.51,Ghana,Ramosborough,36083,Desktop,Organic
69,7852,26-02-2026 02:17,Cancelled,Refunded,Wallet,USD,1557.64,0,186.92,25.94,1770.5,Botswana,Haleyside,51180,Tablet,Referral
70,8643,07-05-2026 23:29,Cancelled,Refunded,PayPal,USD,828.21,124.23,99.39,45.1,848.47,Czech Republic,New Melissa,81878,Tablet,Organic
71,3962,26-09-2024 20:41,Pending,Pending,BankTransfer,USD,30.6,1.53,3.67,7.12,39.86,Afghanistan,New Jessicahaven,19363,Tablet,Direct
72,8450,12-01-2026 13:49,Pending,Refunded,BankTransfer,USD,848.54,0,101.82,30.5,980.86,Central African Republic,New Christineport,84959,Mobile,Direct
73,7971,07-01-2025 20:20,Returned,Failed,PayPal,USD,910.49,91.05,109.26,11.25,939.95,British Virgin Islands,Lake Nicholaston,96217,Mobile,Direct
74,5513,11-05-2025 14:52,Pending,Refunded,PayPal,USD,581.66,29.08,69.8,5.45,627.83,Denmark,Port Markland,38439,Desktop,Direct
75,515,26-03-2025 02:48,Cancelled,Failed,PayPal,USD,1697.21,84.86,203.67,43.2,1859.22,Tajikistan,Pamelaville,66166,Tablet,Organic
76,387,28-02-2026 10:06,Returned,Pending,Wallet,USD,1581.81,79.09,189.82,41.14,1733.68,Argentina,Michaeltown,86039,Mobile,Organic
77,4733,01-11-2025 02:03,Pending,Paid,Card,USD,1269.64,190.45,152.36,26.23,1257.78,Iran,South Michaelachester,46387,Desktop,Direct
78,2776,28-08-2024 20:07,Returned,Pending,BankTransfer,USD,1754.34,87.72,210.52,4.47,1881.61,Libyan Arab Jamahiriya,Brightborough,20791,Desktop,Email
79,2013,02-03-2026 11:14,Returned,Pending,Wallet,USD,1856.43,278.46,222.77,16.35,1817.09,Israel,Sethfurt,38989,Mobile,Direct
80,6837,25-11-2025 21:28,Cancelled,Refunded,Wallet,USD,1952.36,0,234.28,32.58,2219.22,Algeria,New Timothy,59810,Tablet,Direct
81,3234,10-02-2025 04:32,Returned,Refunded,BankTransfer,USD,1610.61,80.53,193.27,11.95,1735.3,Tanzania,Port Robinfort,28878,Desktop,Organic
82,1535,04-10-2025 01:12,Pending,Refunded,Wallet,USD,1107.31,110.73,132.88,39.83,1169.29,Seychelles,East Williamchester,40859,Desktop,Referral
83,2872,22-05-2025 01:09,Pending,Failed,Card,USD,1769.62,176.96,212.35,2.65,1807.66,France,Chavezfurt,58776,Desktop,Paid
84,1275,29-08-2024 18:28,Pending,Pending,PayPal,USD,1073.92,0,128.87,31.82,1234.61,Albania,Bradleyton,52514,Tablet,Referral
85,6040,10-05-2026 10:17,Pending,Failed,BankTransfer,USD,1654.5,82.73,198.54,12.78,1783.09,Chile,West Williamport,35212,Mobile,Referral
86,1042,14-09-2024 20:12,Returned,Refunded,Wallet,USD,263.67,0,31.64,11.02,306.33,Moldova,Gonzalezfort,67325,Tablet,Paid
87,7137,13-11-2025 22:27,Cancelled,Paid,BankTransfer,USD,528.02,0,63.36,3.81,595.19,Malta,South Martinberg,3019,Tablet,Paid
88,5472,25-06-2025 04:33,Returned,Pending,BankTransfer,USD,1964.34,196.43,235.72,43.82,2047.45,Mongolia,Wagnerside,98495,Tablet,Referral
89,2055,02-04-2025 23:45,Completed,Refunded,Card,USD,1660.51,249.08,199.26,40.31,1651,Comoros,Jeffreyport,87616,Desktop,Direct
90,4649,30-04-2026 01:29,Completed,Pending,BankTransfer,USD,1937.98,290.7,232.56,39.75,1919.59,Nigeria,Port Nathan,70799,Desktop,Referral
91,4477,11-12-2024 02:24,Cancelled,Failed,Card,USD,1240.69,124.07,148.88,0.92,1266.42,Maldives,Kristastad,17714,Mobile,Email
92,4415,05-12-2025 04:26,Completed,Refunded,Card,USD,841.16,84.12,100.94,3.9,861.88,Senegal,Marybury,1087,Tablet,Referral
93,1781,22-12-2024 10:16,Pending,Pending,Wallet,USD,200.47,20.05,24.06,38.56,243.04,Tonga,Sloanhaven,32534,Desktop,Email
94,3906,13-02-2026 09:10,Returned,Refunded,BankTransfer,USD,1583.44,79.17,190.01,5.94,1700.22,Lithuania,New Robinville,55710,Desktop,Direct
95,4101,12-12-2025 08:47,Returned,Failed,Card,USD,550.22,27.51,66.03,27.35,616.09,Germany,North Kimberly,66890,Desktop,Direct
96,2702,19-02-2025 20:28,Returned,Paid,Wallet,USD,1561.46,78.07,187.38,5.37,1676.14,Namibia,Michaelshire,83924,Tablet,Referral
97,3981,22-03-2025 10:12,Completed,Paid,PayPal,USD,40.03,4,4.8,34.23,75.06,United Arab Emirates,Brookschester,56284,Mobile,Paid
98,3051,23-04-2026 03:41,Cancelled,Paid,BankTransfer,USD,1494.56,74.73,179.35,44,1643.18,Tajikistan,Rachaelmouth,67091,Tablet,Email
99,6025,19-11-2025 14:08,Returned,Refunded,BankTransfer,USD,1416.65,212.5,170,40.95,1415.1,Fiji,New Ryan,98311,Mobile,Email
100,7252,06-02-2025 04:43,Cancelled,Pending,BankTransfer,USD,1097.27,54.86,131.67,41.72,1215.8,Algeria,North Sueshire,520,Desktop,Organic
101,484,18-04-2026 19:21,Returned,Refunded,Wallet,USD,1160.92,116.09,139.31,3.97,1188.11,Puerto Rico,West Todd,39940,Tablet,Paid
102,8673,27-04-2025 06:24,Returned,Refunded,PayPal,USD,1881.08,0,225.73,33.94,2140.75,New Zealand,North Cheryl,64747,Tablet,Direct
103,3970,22-01-2025 06:52,Completed,Refunded,BankTransfer,USD,1211.96,60.6,145.44,0.61,1297.41,Swaziland,East Kimberly,33392,Tablet,Direct
104,8563,25-09-2025 15:21,Returned,Failed,Wallet,USD,591.9,0,71.03,41.63,704.56,French Guiana,Brownfurt,24576,Desktop,Email
105,6180,03-11-2025 14:02,Cancelled,Refunded,Card,USD,1284.26,0,154.11,44.8,1483.17,United States Minor Outlying Islands,Port Heather,32967,Tablet,Direct
106,7328,23-08-2024 04:06,Completed,Paid,PayPal,USD,719.8,107.97,86.38,41.13,739.34,Papua New Guinea,Lake Michelle,18053,Desktop,Referral
107,5594,31-03-2025 22:35,Pending,Paid,Wallet,USD,1773.28,88.66,212.79,2.28,1899.69,Spain,Amyhaven,37327,Mobile,Paid
108,9520,28-05-2026 03:26,Returned,Refunded,Wallet,USD,51.53,7.73,6.18,41.29,91.27,Paraguay,Leslieton,95530,Desktop,Direct
109,2749,26-01-2025 21:26,Returned,Failed,Card,USD,92.45,9.25,11.09,31.46,125.75,Jordan,Port Aprilshire,18627,Tablet,Referral
110,3859,02-08-2024 06:40,Completed,Paid,Card,USD,1274.55,191.18,152.95,4.04,1240.36,Zambia,West Rachelmouth,28548,Desktop,Organic
111,3209,20-06-2026 10:59,Completed,Refunded,BankTransfer,USD,1517.06,227.56,182.05,45.49,1517.04,Wallis and Futuna,Port Brian,52267,Desktop,Referral
112,1353,24-05-2025 02:12,Pending,Failed,Wallet,USD,1957.81,293.67,234.94,20.76,1919.84,Saint Lucia,North Adam,3225,Desktop,Organic
113,8008,03-06-2025 06:25,Pending,Failed,Wallet,USD,1391.81,69.59,167.02,17.33,1506.57,Egypt,New Lauren,3696,Mobile,Paid
114,409,30-09-2024 22:21,Cancelled,Paid,Card,USD,1091.98,0,131.04,47.68,1270.7,Bolivia,South Wendyland,72496,Desktop,Referral
115,1312,14-05-2026 12:25,Returned,Pending,Card,USD,1274.72,63.74,152.97,8.92,1372.87,Cape Verde,Blackstad,92640,Desktop,Referral
116,4837,21-08-2024 13:38,Returned,Pending,Card,USD,148.24,22.24,17.79,43.81,187.6,Aruba,Timothyville,97923,Tablet,Referral
117,397,06-01-2026 20:58,Cancelled,Paid,Wallet,USD,1607.67,80.38,192.92,27.81,1748.02,Marshall Islands,Brownside,3651,Mobile,Paid
118,3478,14-07-2026 22:48,Returned,Failed,Wallet,USD,270.1,27.01,32.41,19.1,294.6,Italy,Smithmouth,91346,Desktop,Organic
119,6239,31-08-2025 16:39,Pending,Pending,Wallet,USD,106.01,15.9,12.72,3.07,105.9,Timor-Leste,New Dylanmouth,54076,Mobile,Direct
120,8711,08-08-2024 16:31,Completed,Paid,Card,USD,1772.24,88.61,212.67,3.62,1899.92,Madagascar,New Phillip,17473,Desktop,Referral
121,2637,02-10-2025 15:39,Returned,Refunded,Card,USD,1614.57,0,193.75,25.19,1833.51,Iceland,Lake Brad,8358,Tablet,Organic
122,1557,03-05-2025 22:48,Returned,Refunded,Wallet,USD,917.64,91.76,110.12,38.37,974.37,Serbia,Bryanview,23409,Tablet,Email
123,8837,25-06-2025 22:41,Pending,Paid,PayPal,USD,1263.29,189.49,151.59,37.82,1263.21,Denmark,Lake Ruben,98566,Tablet,Paid
124,6529,08-05-2026 18:28,Returned,Refunded,Card,USD,1260.58,126.06,151.27,31.66,1317.45,Korea,Lake Kristinland,55447,Desktop,Direct
125,9568,24-07-2024 16:45,Pending,Failed,Wallet,USD,1678.38,83.92,201.41,37.11,1832.98,Argentina,New Teresashire,30078,Mobile,Paid
126,3559,21-01-2025 18:16,Cancelled,Pending,BankTransfer,USD,1544.12,0,185.29,14.45,1743.86,Panama,Mcclureview,1558,Desktop,Organic
127,4322,30-06-2025 13:35,Pending,Paid,Card,USD,1227.62,61.38,147.31,1.3,1314.85,Venezuela,Wangside,18232,Desktop,Paid
128,6434,29-11-2025 14:19,Returned,Refunded,BankTransfer,USD,1906.39,285.96,228.77,17.48,1866.68,United States Minor Outlying Islands,Jamesfort,3640,Desktop,Direct
129,7114,12-02-2026 23:03,Cancelled,Pending,BankTransfer,USD,1611.84,0,193.42,47.42,1852.68,Canada,Lake Danielle,29198,Desktop,Organic
130,7719,19-11-2024 15:08,Cancelled,Paid,PayPal,USD,1709.01,85.45,205.08,41.01,1869.65,India,West Toni,75863,Mobile,Direct
131,2685,06-09-2025 00:20,Cancelled,Pending,Card,USD,188.57,9.43,22.63,49.09,250.86,New Caledonia,East Cynthia,76131,Tablet,Organic
132,4231,18-11-2025 20:47,Pending,Paid,Card,USD,1111.25,0,133.35,26.76,1271.36,San Marino,New Mathewborough,28363,Desktop,Email
133,8227,19-07-2025 13:08,Cancelled,Paid,Wallet,USD,51.19,5.12,6.14,35.1,87.31,Tokelau,North Melissa,17202,Mobile,Referral
134,7926,31-08-2024 03:51,Completed,Refunded,Card,USD,262.47,0,31.5,6.68,300.65,Libyan Arab Jamahiriya,Jamesfurt,19145,Desktop,Direct
135,8697,16-12-2025 15:36,Pending,Pending,BankTransfer,USD,1800.97,270.15,216.12,49.96,1796.9,Guatemala,Stevefort,44238,Desktop,Organic
136,5470,25-03-2026 02:32,Pending,Paid,Card,USD,312.96,46.94,37.56,24.2,327.78,Vanuatu,West Jenniferchester,39367,Desktop,Referral
137,108,06-07-2026 10:04,Pending,Failed,Wallet,USD,1872.63,280.89,224.72,26.3,1842.76,United States Minor Outlying Islands,Grahamborough,19228,Tablet,Email
138,1653,22-12-2024 04:57,Returned,Refunded,BankTransfer,USD,588.74,29.44,70.65,17.5,647.45,Peru,Loganchester,14536,Desktop,Referral
139,4782,26-05-2025 03:46,Pending,Refunded,Wallet,USD,1954.24,195.42,234.51,8.62,2001.95,United Arab Emirates,Edwardsville,31587,Tablet,Direct
140,9334,21-07-2024 23:17,Cancelled,Failed,Card,USD,1283.76,192.56,154.05,35.87,1281.12,British Virgin Islands,Lake Bobby,88694,Mobile,Referral
141,558,12-06-2025 05:56,Cancelled,Refunded,Card,USD,456.86,22.84,54.82,48.71,537.55,Pitcairn Islands,Ochoaview,50995,Desktop,Email
142,279,25-02-2026 23:58,Completed,Refunded,Card,USD,1764.87,176.49,211.78,35.62,1835.78,Dominican Republic,Smithtown,30542,Mobile,Organic
143,9993,04-03-2025 08:36,Completed,Failed,Wallet,USD,1892.5,94.62,227.1,7.04,2032.02,Martinique,Port Thomas,75495,Mobile,Paid
144,5518,21-08-2025 00:36,Completed,Failed,BankTransfer,USD,1438.29,215.74,172.59,3.77,1398.91,Guatemala,New Katherine,15255,Tablet,Paid
145,3771,28-01-2026 06:26,Cancelled,Paid,Wallet,USD,1610.66,161.07,193.28,4.58,1647.45,Czech Republic,Port Kaylaton,51397,Desktop,Direct
146,8338,22-05-2025 20:33,Cancelled,Paid,Card,USD,183.31,27.5,22,19.88,197.69,Poland,New Mary,81000,Mobile,Organic
147,8553,27-05-2026 10:28,Cancelled,Refunded,PayPal,USD,438.78,21.94,52.65,13.71,483.2,Guyana,Michaelmouth,2080,Mobile,Referral
148,8642,21-10-2024 22:56,Cancelled,Failed,Wallet,USD,131.86,19.78,15.82,22.15,150.05,Russian Federation,West Stevenstad,76350,Desktop,Email
149,4270,23-03-2026 04:44,Cancelled,Paid,Wallet,USD,197.25,29.59,23.67,23.19,214.52,Faroe Islands,South Donnatown,93399,Tablet,Email
150,3956,23-12-2024 02:27,Returned,Pending,PayPal,USD,50.98,7.65,6.12,14.3,63.75,Vietnam,West Calvintown,26344,Desktop,Referral
151,8656,19-07-2025 14:17,Completed,Pending,BankTransfer,USD,480.15,48.02,57.62,26.12,515.87,Nicaragua,Smithtown,55260,Desktop,Referral
152,2766,18-10-2024 07:23,Returned,Failed,PayPal,USD,1124.7,0,134.96,27.82,1287.48,Zimbabwe,West Holly,96785,Mobile,Paid
153,7178,18-06-2025 15:57,Cancelled,Failed,Card,USD,958.79,47.94,115.05,11.16,1037.06,Brazil,Kevinview,79871,Desktop,Direct
154,7618,22-05-2025 13:23,Completed,Failed,Card,USD,792.76,118.91,95.13,11.15,780.13,Guinea,Hernandezberg,29437,Tablet,Referral
155,4134,11-02-2026 01:03,Cancelled,Pending,BankTransfer,USD,529.86,79.48,63.58,21.27,535.23,Latvia,Johnathanstad,67248,Mobile,Direct
156,6572,28-12-2025 13:43,Completed,Refunded,PayPal,USD,1036.93,103.69,124.43,47,1104.67,Svalbard & Jan Mayen Islands,North Matthewberg,20117,Desktop,Referral
157,6074,14-05-2026 00:14,Cancelled,Failed,BankTransfer,USD,153.58,0,18.43,12.38,184.39,Western Sahara,West Matthew,6878,Mobile,Referral
158,478,07-07-2025 02:55,Completed,Failed,Wallet,USD,1426.27,142.63,171.15,0.36,1455.15,Kuwait,Annashire,97644,Mobile,Email
159,8627,08-02-2026 05:11,Returned,Refunded,BankTransfer,USD,1910.44,286.57,229.25,20.8,1873.92,Cyprus,West Jeremy,58644,Desktop,Paid
160,8940,05-05-2026 04:20,Pending,Paid,Wallet,USD,1336.32,0,160.36,8.94,1505.62,Slovenia,Smithton,56273,Tablet,Paid
161,3220,07-12-2024 02:12,Cancelled,Failed,BankTransfer,USD,706.79,70.68,84.81,27.03,747.95,Niger,New Joseport,86796,Desktop,Email
162,8866,08-02-2026 01:27,Cancelled,Failed,PayPal,USD,1078.13,161.72,129.38,43.63,1089.42,Monaco,Grahammouth,33629,Mobile,Organic
163,7983,24-11-2024 18:30,Completed,Failed,Card,USD,853.6,85.36,102.43,15.57,886.24,Jersey,Debraland,92393,Desktop,Direct
164,1790,17-06-2026 15:51,Pending,Pending,Card,USD,74.88,0,8.99,14.65,98.52,Chile,Port Nicole,75621,Tablet,Paid
165,9454,23-03-2025 21:30,Returned,Failed,BankTransfer,USD,1017.83,50.89,122.14,47.03,1136.11,Palestinian Territory,Lake Christine,71661,Tablet,Organic
166,1623,10-08-2025 16:48,Pending,Refunded,Card,USD,277.99,41.7,33.36,3.67,273.32,Colombia,North Lori,6787,Mobile,Referral
167,8224,19-11-2024 20:42,Completed,Paid,Wallet,USD,1991.24,99.56,238.95,41.38,2172.01,French Guiana,Curtisville,86928,Mobile,Email
168,7987,09-03-2025 17:42,Completed,Pending,Card,USD,1144.14,114.41,137.3,0.7,1167.73,Greenland,Lake Laurenmouth,56753,Tablet,Direct
169,2622,10-05-2025 09:12,Returned,Paid,Wallet,USD,341.48,0,40.98,43.11,425.57,Nigeria,Victorland,60282,Mobile,Direct
170,4841,28-07-2025 02:57,Returned,Failed,PayPal,USD,75.54,3.78,9.06,23.23,104.05,Belgium,Millerton,82455,Mobile,Email
171,9095,24-11-2024 08:55,Cancelled,Pending,Wallet,USD,910.8,45.54,109.3,26.23,1000.79,Bangladesh,East Yvettehaven,15422,Mobile,Referral
172,2924,11-09-2024 15:40,Completed,Failed,Card,USD,1981.48,0,237.78,49.38,2268.64,Cape Verde,Lake Leslie,42737,Tablet,Organic
173,8613,31-08-2024 20:37,Cancelled,Paid,Card,USD,1539.13,0,184.7,0.35,1724.18,Ukraine,Dylantown,58289,Mobile,Paid
174,7473,09-01-2026 21:15,Pending,Pending,PayPal,USD,1080.78,162.12,129.69,43.26,1091.61,Yemen,East Aaron,5554,Desktop,Paid
175,166,22-11-2024 01:15,Completed,Refunded,PayPal,USD,914.06,0,109.69,49.25,1073,Sao Tome and Principe,Conniefurt,44147,Desktop,Paid
176,9672,20-12-2024 19:35,Returned,Failed,Card,USD,940.08,141.01,112.81,8.37,920.25,Israel,Bellport,40140,Mobile,Organic
