product_id,sku,product_name,category,subcategory,brand,price,cost,stock_quantity,active,created_at
61,SKU100061,Born,Home,pay,Ballard-Miranda,929.43,627.8,706,1,28-11-2022 17:08
62,SKU100062,Speak,Beauty,talk,Webb-Mccoy,407.74,190.2,162,1,24-10-2020 15:25
63,SKU100063,Plan,Beauty,color,Simmons-Reed,388.88,158.3,311,1,29-08-2020 19:47
64,SKU100064,Picture,Electronics,require,Dean-Harrison,739.15,437.14,69,1,12-08-2020 17:32
65,SKU100065,Position,Sports,traditional,"Chapman, Castillo and Powers",322.89,214.02,168,1,06-05-2024 21:34
66,SKU100066,Business,Beauty,take,Barnes-Ortega,639.32,415,805,1,27-02-2021 05:02
67,SKU100067,May,Beauty,store,Bryan Ltd,555.3,389.69,687,1,15-01-2022 11:10
68,SKU100068,Check,Clothing,special,Rodriguez Ltd,12.11,6.64,783,1,02-06-2025 19:52
69,SKU100069,Those,Home,follow,"Lopez, Shah and Christian",552.87,221.7,759,1,08-01-2022 17:42
70,SKU100070,Successful,Sports,prevent,Palmer and Sons,620.49,381.45,534,1,28-08-2020 15:34
71,SKU100071,Until,Sports,cell,Anderson-Sanchez,621.12,352.13,758,1,11-06-2024 05:04
72,SKU100072,When,Home,meeting,Woods Inc,28.92,12.64,872,1,21-08-2020 04:34
73,SKU100073,Industry,Electronics,lay,Mosley LLC,607.98,365.88,798,1,24-09-2022 09:48
74,SKU100074,Spring,Home,how,Gordon-Thompson,111.22,63.91,566,1,08-09-2023 00:42
75,SKU100075,Enjoy,Sports,kitchen,"Rios, Stafford and Jacobs",32.95,26.99,885,1,06-08-2022 08:35
76,SKU100076,Edge,Beauty,same,"Hunter, Gonzalez and Cohen",937.19,469.51,898,1,15-05-2022 10:52
77,SKU100077,Environment,Beauty,worry,Harrington Inc,772.05,347.61,174,1,23-11-2020 05:51
78,SKU100078,Fund,Home,scene,Page and Sons,226.58,101.18,2,1,26-07-2024 20:03
79,SKU100079,Book,Electronics,unit,Kane Group,428.97,208.69,848,0,24-08-2024 19:26
80,SKU100080,Will,Sports,meet,Parker-Fisher,375.12,186.47,572,1,06-08-2022 17:16
81,SKU100081,Which,Sports,science,Brown Ltd,921.72,453.38,797,1,26-09-2022 12:24
82,SKU100082,Agreement,Sports,majority,"Jacobs, Garcia and Lopez",518.31,236.16,165,1,24-08-2021 07:01
83,SKU100083,Look,Sports,section,Jones Ltd,397.69,219.2,47,1,29-04-2022 02:00
84,SKU100084,People,Clothing,together,Morales Ltd,477.43,270.76,577,1,19-12-2021 06:51
85,SKU100085,Team,Clothing,structure,Porter-Sutton,785.74,574.18,297,1,15-06-2022 18:55
86,SKU100086,Guy,Sports,home,Leblanc-Hernandez,7.99,6.59,492,1,11-07-2022 21:22
87,SKU100087,Focus,Clothing,security,Valdez LLC,135.18,113.52,40,1,13-11-2020 05:33
88,SKU100088,Mr,Beauty,wind,Martinez Ltd,690,525.35,666,1,30-04-2021 18:12
89,SKU100089,Pull,Beauty,himself,Mcdaniel-Richardson,504.68,216.56,933,1,06-03-2023 19:39
90,SKU100090,Experience,Home,real,Joseph Ltd,328.71,197.69,350,1,14-02-2025 19:07
91,SKU100091,Sister,Sports,stand,Shea LLC,295.5,166.04,644,1,27-01-2025 00:43
92,SKU100092,Strategy,Electronics,street,"Jennings, Hoover and Knight",528.76,247.89,16,1,12-09-2024 01:26
93,SKU100093,Method,Sports,rule,"Vaughn, Ali and Burns",90.22,38.49,752,1,11-02-2022 05:00
94,SKU100094,Smile,Electronics,far,Perez Inc,763.91,504.89,415,1,12-02-2023 15:21
95,SKU100095,Toward,Electronics,check,Mccarty-Hutchinson,525.38,238.26,88,1,23-04-2021 00:31
96,SKU100096,Stock,Sports,throughout,"Barnes, Salinas and Wagner",369.89,211.61,91,1,12-02-2023 15:10
97,SKU100097,Cover,Sports,reveal,Gregory-Lopez,288.11,206.6,679,1,16-07-2024 06:44
98,SKU100098,Prevent,Clothing,standard,Parks-Cline,49.81,20.85,343,1,18-04-2024 19:47
99,SKU100099,Almost,Beauty,performance,Barajas-Le,38.75,26.67,141,1,25-05-2025 14:23
100,SKU100100,Few,Beauty,do,"Sanchez, Matthews and Ali",480.17,279.82,637,1,03-12-2023 23:50
101,SKU100101,White,Beauty,radio,Hoffman-Wilson,927.22,531.29,808,1,28-02-2025 06:42
102,SKU100102,Weight,Clothing,article,Brady-Spears,245.79,146.66,756,1,10-11-2021 23:35
103,SKU100103,On,Electronics,although,Miller-Williams,896.16,690.92,942,1,30-05-2022 01:56
104,SKU100104,Site,Beauty,state,"Quinn, Brown and Eaton",789.57,455.73,222,1,19-10-2020 18:26
105,SKU100105,Seek,Clothing,base,Sutton Inc,489.8,387.86,371,1,16-10-2022 04:48
106,SKU100106,System,Sports,yard,"Garcia, Valdez and Kim",512.44,376.49,39,1,09-01-2021 09:13
107,SKU100107,Either,Clothing,turn,Moore LLC,224.83,125.29,892,1,28-10-2023 20:24
108,SKU100108,Bank,Beauty,painting,Spears and Sons,188.06,98.25,645,1,04-04-2024 01:44
109,SKU100109,Pull,Beauty,positive,"Wilson, Howard and Mathis",409.94,293.54,36,1,12-09-2020 16:49
110,SKU100110,Customer,Home,plant,Ashley-Mitchell,730.98,377.87,605,1,15-02-2023 22:56
111,SKU100111,Side,Beauty,imagine,Anderson Ltd,711.5,290.42,888,1,16-02-2025 15:10
112,SKU100112,While,Home,news,"Adams, Taylor and Aguirre",800.04,470.19,862,1,22-12-2022 02:29
113,SKU100113,Best,Sports,step,"Moore, Hernandez and Jackson",305.08,216.41,112,1,10-10-2021 05:21
114,SKU100114,Type,Sports,public,Merritt-Edwards,55.68,36.79,215,1,23-05-2024 01:56
115,SKU100115,Specific,Beauty,wife,"Mcguire, Moran and Mathews",825.51,684,991,1,25-07-2024 11:08
116,SKU100116,Cover,Beauty,level,Jacobson-Harris,401.01,233.72,932,1,22-07-2022 05:11
117,SKU100117,In,Beauty,treatment,House-Sweeney,226.76,92.52,301,1,17-03-2023 21:03
118,SKU100118,Offer,Electronics,production,Mcconnell-Jackson,113.04,54.4,373,1,08-02-2025 15:04
119,SKU100119,Director,Sports,current,Johnson-Foster,384.12,209.91,394,0,21-05-2021 07:03
120,SKU100120,Produce,Home,yard,Mcmahon Group,372.84,188,886,1,15-08-2020 14:51
121,SKU100121,List,Sports,place,Hill Inc,424.6,194.15,607,1,29-12-2020 10:54
122,SKU100122,Let,Home,community,Turner Inc,397.69,296.93,805,1,14-11-2024 01:16
123,SKU100123,Item,Sports,present,Villa-Davis,886.95,496.33,810,1,27-07-2023 16:44
124,SKU100124,Candidate,Clothing,ready,"Thompson, Williams and Sims",586.44,316.14,372,1,18-05-2025 23:15
125,SKU100125,Billion,Beauty,visit,"Mcguire, Hernandez and Schneider",64.63,42.26,631,1,20-04-2025 21:38
126,SKU100126,Push,Home,question,Ayers-Rivers,124.13,100.13,91,1,26-05-2025 06:21
127,SKU100127,Culture,Sports,off,Scott Ltd,775.14,342.86,37,1,02-09-2022 05:31
128,SKU100128,Fall,Electronics,surface,Larsen Group,176.63,145.19,271,1,12-01-2025 01:58
129,SKU100129,Every,Sports,others,Bowman LLC,771.15,463.85,340,1,17-11-2020 01:27
130,SKU100130,Professional,Clothing,magazine,Ramirez-Sanchez,268.58,200.02,189,1,25-05-2022 00:26
131,SKU100131,Especially,Beauty,week,Long PLC,287.51,159.64,757,1,12-10-2021 13:23
132,SKU100132,Even,Beauty,carry,"Spencer, Gray and Mays",601.6,454.93,292,1,05-04-2023 12:36
133,SKU100133,Movie,Beauty,pressure,"Rodriguez, Brooks and Morales",372.26,163.36,817,1,19-03-2021 12:55
134,SKU100134,Customer,Sports,look,Obrien Ltd,836.05,685.07,571,1,26-09-2022 12:01
135,SKU100135,Less,Sports,professional,Jordan-Johnson,596.96,369.1,138,1,18-12-2024 07:52
136,SKU100136,Ahead,Home,measure,"Vasquez, Cooper and Floyd",193.4,125.02,454,1,20-08-2023 07:06
137,SKU100137,Quickly,Home,analysis,Miller LLC,395.22,215.94,319,1,08-06-2023 06:33
138,SKU100138,Project,Electronics,involve,Allen Group,817.67,573.64,721,1,14-10-2020 00:37
139,SKU100139,Left,Clothing,life,"Rowe, Avery and Brooks",284.91,200.62,447,1,25-07-2020 01:29
140,SKU100140,Only,Home,blue,Payne-Wright,764.09,398.56,445,1,17-07-2024 15:15
141,SKU100141,Computer,Home,effect,Fowler Group,194.38,94.48,333,1,13-02-2023 12:38
142,SKU100142,Particularly,Home,generation,Sanchez-Tapia,388.46,252.75,836,1,04-06-2022 15:59
143,SKU100143,Analysis,Home,firm,Carney-Hill,721.27,558.27,546,1,28-03-2023 18:16
144,SKU100144,Level,Clothing,enough,Johnson-Hill,127.27,90.31,74,1,04-05-2023 10:06
145,SKU100145,Attorney,Home,plan,Harrison PLC,577.76,322.51,891,0,24-10-2024 03:31
146,SKU100146,Pressure,Sports,subject,"Montgomery, Rios and Barnett",365.22,169.32,347,1,01-12-2024 21:29
147,SKU100147,Size,Electronics,avoid,Reynolds-Reyes,404.95,260.6,522,1,12-12-2023 04:43
148,SKU100148,Sing,Home,important,Anthony-Mullins,648.99,413.09,713,1,29-10-2022 09:16
149,SKU100149,Economic,Sports,my,Williamson-Kelly,160.57,69.42,192,1,06-08-2020 15:28
150,SKU100150,Mind,Beauty,author,"Burke, Williamson and Yates",37.46,26.18,216,1,31-03-2025 18:21
151,SKU100151,Task,Home,eye,"Harris, Palmer and West",936.62,683.72,155,1,15-05-2025 15:14
152,SKU100152,Real,Home,civil,Walker-Lowe,162.57,83.13,899,1,21-09-2023 04:47
153,SKU100153,This,Sports,kitchen,Perez Inc,451.58,366.75,449,1,02-09-2020 20:35
154,SKU100154,Between,Beauty,girl,"Guzman, Mcbride and Ortiz",882.68,486.43,812,1,27-01-2023 17:07
155,SKU100155,Indicate,Clothing,share,Williams Inc,128,87.75,780,1,02-04-2024 20:40
156,SKU100156,Size,Sports,into,Hicks-Ward,969.68,667.21,770,1,17-02-2023 11:40
157,SKU100157,Our,Clothing,born,Black-Wood,687.57,576.89,274,1,17-01-2023 15:39
158,SKU100158,Since,Sports,picture,Johnson-Potter,197.91,85.66,500,1,14-09-2021 05:41
159,SKU100159,Nature,Sports,impact,Wade-Huang,885.4,416.71,418,1,10-11-2021 14:49
160,SKU100160,Responsibility,Electronics,despite,"Gonzales, Perry and Maxwell",710.77,477.35,931,1,20-03-2023 16:16
161,SKU100161,Single,Sports,usually,"Anderson, Gray and Dean",233.76,161.79,661,1,07-10-2024 16:09
162,SKU100162,Interview,Electronics,customer,"Brady, Neal and Chavez",764.44,316.7,406,1,07-07-2024 14:13
163,SKU100163,Us,Electronics,each,Bryant Group,714.6,535.71,495,1,04-11-2022 08:10
164,SKU100164,Real,Electronics,care,Webb Inc,19.74,10.06,937,1,05-01-2022 04:41
165,SKU100165,Commercial,Home,race,"Diaz, Lewis and Butler",682.19,340.91,104,1,21-02-2021 10:37
166,SKU100166,Understand,Electronics,others,"Decker, Scott and Mcdonald",796.51,556.87,524,1,30-11-2023 09:39
167,SKU100167,Probably,Electronics,likely,Skinner Group,401.02,210.85,161,1,29-05-2021 14:16
168,SKU100168,Adult,Electronics,official,Peterson and Sons,139.5,59.46,892,1,25-06-2023 09:46
169,SKU100169,Know,Beauty,later,Fritz-Richard,503.23,390.73,659,1,30-11-2022 02:25
170,SKU100170,Significant,Clothing,several,"Gillespie, Hunt and Hurst",955.26,413.04,282,1,02-02-2025 20:03
171,SKU100171,World,Sports,American,"Singleton, Smith and Davis",669.81,340.56,557,1,30-04-2024 05:18
172,SKU100172,Speech,Electronics,he,"Martinez, Garcia and Ortiz",362.68,185.23,880,1,01-04-2025 09:07
173,SKU100173,Send,Sports,born,"Beard, Hall and Wilcox",804.45,329.56,793,1,20-01-2023 01:44
174,SKU100174,Ok,Home,set,Fleming Group,502.61,392.39,732,1,23-01-2021 16:51
175,SKU100175,Baby,Home,join,Diaz-Brewer,64.31,37.22,420,1,24-07-2024 16:23
176,SKU100176,Suddenly,Clothing,site,Blanchard-Butler,654.76,500.49,883,0,27-02-2021 04:16
177,SKU100177,Risk,Home,pull,Marshall-Mcgee,554.43,372.75,955,1,05-11-2024 06:18
178,SKU100178,Pretty,Beauty,able,"Washington, George and Torres",340.21,233.81,713,1,24-04-2023 20:52
179,SKU100179,Policy,Electronics,certain,Townsend Group,958.5,567.26,965,1,03-08-2024 09:57
180,SKU100180,Mouth,Sports,image,"Anderson, Daugherty and Cox",248.49,104.22,128,1,19-09-2024 07:28
181,SKU100181,Several,Clothing,party,Long-Black,531.72,220.62,887,1,07-09-2023 05:45
182,SKU100182,Pay,Electronics,establish,Coleman PLC,615.48,407.37,404,1,12-06-2022 20:59
183,SKU100183,Those,Electronics,military,"Fox, Norman and Gregory",617.05,392.17,577,0,29-05-2021 16:03
184,SKU100184,Operation,Sports,key,Strickland-Johnson,480.23,268.55,543,1,11-01-2023 17:32
185,SKU100185,Week,Beauty,letter,"Gregory, Hayes and Hicks",933.11,394.08,219,1,19-07-2023 14:11
186,SKU100186,American,Home,author,Evans-Sanchez,97.48,56.16,116,1,13-11-2021 18:08
187,SKU100187,Wall,Home,reason,Mitchell-Hill,445.31,223.42,55,1,16-09-2021 01:04
188,SKU100188,Work,Clothing,source,Brown-Smith,973.79,425.78,772,1,25-08-2022 21:00
189,SKU100189,Employee,Beauty,carry,Johnson Inc,22.8,15.47,915,0,27-11-2021 00:16
190,SKU100190,Exist,Sports,care,James LLC,31.04,13.14,181,1,03-12-2023 05:34
191,SKU100191,Process,Home,not,"Thompson, Diaz and Torres",44.37,17.89,667,1,22-03-2024 22:52
192,SKU100192,Human,Clothing,goal,Ortega and Sons,494.98,312.41,914,1,30-05-2022 11:39
193,SKU100193,Reflect,Beauty,when,Whitaker-Smith,625.58,451.87,630,1,04-08-2022 19:04
194,SKU100194,Sit,Beauty,move,Graham and Sons,234.88,142.77,120,1,27-06-2022 16:09
195,SKU100195,Give,Home,research,"Jones, Hopkins and Baker",939.59,440.39,177,1,20-06-2022 20:05
196,SKU100196,Never,Clothing,accept,"Hunt, York and Sanchez",456.25,321.91,262,1,12-03-2024 12:27
197,SKU100197,Like,Home,class,Perez Ltd,300.23,210.71,563,1,18-10-2022 16:53
198,SKU100198,Phone,Clothing,task,Jenkins LLC,846.53,451.27,298,1,08-02-2023 05:37
199,SKU100199,Born,Clothing,pretty,"Henderson, Arnold and James",89.89,57.68,369,1,09-07-2025 02:59
200,SKU100200,How,Sports,lose,Berry-Williams,457.25,193.62,833,1,23-06-2021 12:44
201,SKU100201,Successful,Clothing,pressure,Phillips Inc,831.02,397.36,771,1,11-03-2022 05:29
202,SKU100202,Floor,Beauty,scene,Barber-Young,402.78,340,247,1,04-10-2023 12:04
203,SKU100203,Write,Clothing,ahead,Martinez Inc,353.63,297.1,663,1,03-06-2023 07:29
204,SKU100204,Especially,Home,usually,Sanchez Inc,832.42,458.9,552,1,18-02-2024 11:29
205,SKU100205,Treatment,Sports,institution,Pollard-Campos,43.5,34.52,765,1,16-03-2025 19:56
206,SKU100206,Rest,Home,act,Curtis-Turner,36.19,23.94,118,1,23-02-2021 11:46
207,SKU100207,Lay,Electronics,street,Mcclure Ltd,149.09,101.91,812,1,25-02-2021 15:51
208,SKU100208,Miss,Beauty,view,Hughes-Olson,365.76,243.01,2,1,09-12-2022 19:48
209,SKU100209,Word,Clothing,whose,Chavez-King,213.43,95.94,689,1,01-11-2021 08:38
210,SKU100210,Quickly,Electronics,our,Mathis Group,423.42,172.87,85,1,21-06-2025 15:05
211,SKU100211,Amount,Home,stage,Dunlap PLC,35.84,28.64,943,1,27-09-2021 14:22
212,SKU100212,Market,Sports,source,Norton Group,330.24,133.16,170,0,19-05-2024 14:45
213,SKU100213,Cover,Beauty,of,"Murray, Leblanc and Phillips",810.41,463.92,212,1,15-10-2023 17:17
214,SKU100214,Tree,Sports,none,"Roberts, Smith and Smith",390.8,204.91,408,1,26-06-2023 02:20
215,SKU100215,Wear,Electronics,expect,Potter-Li,230.58,104.37,299,1,24-07-2024 10:56
216,SKU100216,Dream,Electronics,successful,"Luna, Carlson and Henry",551.99,259.59,7,1,08-10-2020 08:11
217,SKU100217,Growth,Beauty,item,Bender-Wade,90.29,54.35,813,1,11-01-2025 00:18
218,SKU100218,Already,Clothing,about,Wolfe Ltd,319.85,260.54,47,1,17-11-2023 04:11
219,SKU100219,Fall,Beauty,current,Calderon Group,114.58,80.17,370,1,21-01-2022 22:38
220,SKU100220,Under,Electronics,professor,Williams-Petersen,78.23,62.83,5,1,14-02-2022 06:08
221,SKU100221,Old,Sports,several,Carroll-Murphy,758.3,416.85,817,1,04-07-2021 02:19
222,SKU100222,Stage,Sports,major,"Johnson, Holmes and Hernandez",639.5,301.07,231,1,02-10-2021 05:06
223,SKU100223,Maintain,Sports,recent,"Garza, Carlson and Mcneil",372.23,227.93,244,1,28-05-2021 20:09
224,SKU100224,Check,Electronics,body,Butler-Hicks,267.41,135.82,153,1,29-01-2022 13:44
225,SKU100225,Always,Sports,adult,Mason LLC,807.25,676.22,490,0,22-02-2024 04:49
226,SKU100226,Issue,Sports,fish,"Ward, Martin and White",59.05,34.63,22,1,31-03-2021 14:04
227,SKU100227,Own,Clothing,these,Newton PLC,583.21,487.03,904,1,26-04-2024 14:57
228,SKU100228,Common,Clothing,man,Sandoval Inc,446.58,194.94,593,1,12-10-2024 09:27
229,SKU100229,These,Home,by,Aguilar-Johnson,473.46,295.57,154,1,24-02-2023 11:49
230,SKU100230,List,Beauty,ground,Mccoy-Newton,498.51,352.46,867,1,23-05-2021 04:54
231,SKU100231,Develop,Clothing,get,House-Matthews,695.63,490.39,167,1,18-03-2023 03:37
232,SKU100232,Heart,Beauty,case,"Anderson, White and Williams",126.41,80.54,639,1,03-09-2022 09:36
233,SKU100233,Position,Electronics,eye,Vega PLC,844.74,537.13,410,1,25-07-2024 18:38
234,SKU100234,Message,Sports,his,Rogers-Lowe,556.07,284.8,994,1,12-07-2021 20:21
235,SKU100235,Almost,Electronics,life,Johnson LLC,866.44,390.76,264,1,25-03-2022 07:18
236,SKU100236,Three,Beauty,on,"Massey, Collier and Marshall",266.78,125.59,319,0,18-11-2024 13:08
237,SKU100237,These,Sports,American,Barber-Hall,887.4,740.77,222,1,28-12-2024 05:25
238,SKU100238,Job,Electronics,compare,"Gutierrez, Craig and Greer",674.43,331.65,945,1,17-09-2021 22:51
239,SKU100239,Might,Clothing,hotel,Hale-Lozano,896.22,715.32,94,1,14-02-2022 07:53
240,SKU100240,Together,Sports,opportunity,Watson-Raymond,922.45,652.24,611,1,21-12-2022 13:40
241,SKU100241,Make,Electronics,them,Jordan-Wagner,905.17,491.39,555,1,12-12-2024 13:18
242,SKU100242,Claim,Clothing,should,"Obrien, Rodriguez and Wright",741.58,298.27,7,1,04-04-2023 20:31
243,SKU100243,Language,Sports,little,Esparza-Miller,651.28,493.52,412,1,13-11-2023 05:42
244,SKU100244,Return,Electronics,allow,"Barton, Martinez and Wright",93.89,38.78,211,1,14-06-2022 07:01
245,SKU100245,Same,Home,challenge,"Parsons, Smith and Perry",41.59,18.57,462,1,03-03-2021 07:42
246,SKU100246,They,Beauty,entire,Campbell-Williams,225.55,99.4,646,1,15-08-2024 21:14
247,SKU100247,Western,Home,develop,King-Bishop,92.41,43.71,987,1,07-02-2025 13:25
248,SKU100248,Fly,Sports,cup,Castillo PLC,589.2,330.51,265,1,14-04-2024 18:19
249,SKU100249,Child,Clothing,whom,Nolan LLC,68.33,29.29,297,1,15-04-2023 13:36
250,SKU100250,Increase,Sports,voice,Parks LLC,782.24,567.33,566,1,02-04-2022 18:08
251,SKU100251,Treatment,Electronics,daughter,Smith-Daugherty,152.81,81.13,431,1,19-06-2025 06:17
252,SKU100252,Memory,Home,some,Johns-Foster,209.75,155.85,310,0,10-06-2025 05:53
253,SKU100253,Idea,Electronics,Mrs,Ward-Butler,708.83,552.23,259,1,21-03-2022 17:08
254,SKU100254,Traditional,Sports,his,"Prince, Lewis and Snow",475.66,378.12,965,1,06-10-2022 23:03
255,SKU100255,Question,Home,very,May-Potter,278.38,205.67,129,1,22-02-2025 23:28
256,SKU100256,Around,Clothing,support,Meza Ltd,843.74,582.1,129,1,29-01-2025 17:48
257,SKU100257,Because,Beauty,consumer,"Franklin, Espinoza and Ballard",797.61,470.77,267,1,04-10-2021 03:16
258,SKU100258,Now,Beauty,fight,"Cooke, Day and Fisher",228.19,174.11,828,1,03-06-2021 03:44
259,SKU100259,Seat,Home,model,"Willis, Flores and Olsen",629.77,347.68,243,1,28-01-2023 07:44
260,SKU100260,The,Home,from,"Hernandez, Ortiz and Leonard",691,397.95,66,1,22-11-2020 10:12
261,SKU100261,Top,Clothing,last,"Mitchell, Smith and Hall",497.77,294.24,192,1,16-12-2021 03:42
262,SKU100262,Language,Clothing,avoid,"Duran, Morris and Burnett",237.45,196.12,594,1,06-12-2020 23:33
263,SKU100263,Themselves,Clothing,need,Johnson LLC,14.5,6.02,661,1,01-06-2025 23:59
264,SKU100264,Drug,Home,option,Walton-Gonzalez,107.88,76.7,487,0,12-11-2023 18:13
265,SKU100265,Piece,Home,kitchen,Smith Group,928.81,415.09,657,1,01-07-2024 15:30
266,SKU100266,Take,Home,interview,"Schneider, Klein and Mcdonald",642.56,471.81,647,1,24-04-2021 08:29
267,SKU100267,Go,Beauty,street,French Inc,685.18,565.9,612,1,17-09-2020 02:40
